IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021094,Study site,enrollment_form_labkey_correctid::site,1,enrollment_form_labkey_correctid,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,"variable,derived",,,,South Asia ICEMR Surveillance,,,,yes,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021095,State in India,questionnaire_form_1::x36._state_of_residence,2,questionnaire_form_1,State of residence,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,variable,,,,South Asia ICEMR Surveillance,,,,yes,,,,,
http://purl.obolibrary.org/obo/ENVO_00000009,Country,country,3,,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,"variable,derived",,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,South Asia ICEMR Surveillance,,,,,everywhere,,,,
http://purl.obolibrary.org/obo/OBI_0003075,Age at enrollment,questionnaire_form_1::x34._age_.at_enrollment.,,questionnaire_form_1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,variable,,yes,,South Asia ICEMR Surveillance,EUPATH_0000120,years,http://purl.obolibrary.org/obo/UO_0000036,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000151,Enrollment date,enrollment_form_labkey_correctid::x8._date_enrolled,,enrollment_form_labkey_correctid,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,variable,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0023002,Enrollment time,enrollment_form_labkey_correctid::x9._time_enrolled,,enrollment_form_labkey_correctid,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,,variable,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/PATO_0000047,Sex,questionnaire_form_1::x33._gender,1,questionnaire_form_1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,variable,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000442,State of birth,questionnaire_form_1::x37._state_of_birth,2,questionnaire_form_1,,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,variable,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0023056,Tribal affiliation,questionnaire_form_1::x35._tribal_.self.reported.,3,questionnaire_form_1,Participant considers themselves Adivasi or a tribal person,Participant,http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,,variable,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000359,Occupation,questionnaire_form_2::x44._occupation,,questionnaire_form_2,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,,,variable,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0023036,Participant inpatient or outpatient,samp_coll_form_3::x32._inpatient,1,samp_coll_form_3,Participant admitted as an inpatient or seen as an outpatient,Participant,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,,,variable,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0023013,Discharged,inpatient_care_chart_review::x100._discharge,2,inpatient_care_chart_review,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,,,variable,yes,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0004991,Observation date,inpatient_care_chart_review::x68._date_of_observation_collection | enrollment_form_labkey_correctid::x8._date_enrolled,2,inpatient_care_chart_review | enrollment_form_labkey_correctid,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,variable,yes,yes,,South Asia ICEMR Surveillance,,,,yes,,,,,
http://purl.obolibrary.org/obo/EUPATH_0023052,Observation time,inpatient_care_chart_review::x69._time_of_observation | enrollment_form_labkey_correctid::x9._time_enrolled,3,inpatient_care_chart_review | enrollment_form_labkey_correctid,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,,variable,yes,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010981,Demographics,,1,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0022068,Relocation,,10,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000342,Employment,,2,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0010035,Administrative information,,3,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000310,Observation details,,4,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000308,Hospitalization,,5,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,,6,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000309,Signs and symptoms,,7,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/OGMS_0000090,Treatment,,8,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,South Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/OMRSE_00000142,Travel details,,9,,,Participant,http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,category,,,,South Asia ICEMR Surveillance,EUPATH_0000340,,,,,,,,
http://www.ebi.ac.uk/efo/EFO_0004326,Heart rate,inpatient_care_chart_review::x75._heart_rate,1,inpatient_care_chart_review,,Participant,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,,,variable,yes,,,South Asia ICEMR Surveillance,,bpm,http://purl.obolibrary.org/obo/NCIT_C49673,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021086,Systolic blood pressure,inpatient_care_chart_review::x73._blood_pressure_._systolic,2,inpatient_care_chart_review,,Participant,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,,,variable,yes,,,South Asia ICEMR Surveillance,,mmHg,http://purl.obolibrary.org/obo/UO_0000272,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0021087,Diastolic blood pressure,inpatient_care_chart_review::x74._blood_pressure_._diastolic,3,inpatient_care_chart_review,,Participant,http://purl.obolibrary.org/obo/OGMS_0000083,Physical examination,,,variable,yes,,,South Asia ICEMR Surveillance,,mmHg,http://purl.obolibrary.org/obo/UO_0000272,,,,,,
