IRI,label,variable,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_00000009,Country,StLouisNICU.txt::country,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,StLouisNICU.txt::env_feature,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000581,Delivery mode,StLouisNICU.txt::baby_delivery_mode,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009095,Gestational age at birth,StLouisNICU.txt::Gestational age at birth (days),"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009097,Postmenstrual age at sample collection,StLouisNICU.txt::Postmenstrual age at sample collection,"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009098,Study period,StLouisNICU.txt::Period of study,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009099,Hospital room type,StLouisNICU.txt::Hospital room type,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009100,Breast milk by percent volume,StLouisNICU.txt::Breast milk by percent volume,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009101,Blood culture results,StLouisNICU.txt::Blood culture results,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009102,Percentage of life on antibiotics,StLouisNICU.txt::Percentage of life on antibiotics,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001169,Age,StLouisNICU.txt::Age at sample collection (days),"","","","","","",days,http://purl.obolibrary.org/obo/UO_0000033,"","","","","",""
http://purl.obolibrary.org/obo/OBI_0001616,Sample ID,StLouisNICU.txt::submitted_sample_id,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0003071,Subject ID,StLouisNICU.txt::subject_id,"","","","","","","","","",everywhere,"","","",yes
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,StLouisNICU.txt::sample_type,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/PATO_0000047,Sex,StLouisNICU.txt::Sex,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,StLouisNICU.txt::region,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,StLouisNICU.txt::body_site,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,StLouisNICU.txt::body_product,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,StLouisNICU.txt::body_habitat,"","","","","","","","","","","","","",""
