IRI,label,variable,dataFile,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ECTO_9002101,Pyrethroid insecticide exposure,AnophelesAlbimanus.txt::exposure to pyrethroid insecticide,AnophelesAlbimanus.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000009,Country,AnophelesAlbimanus.txt::country,AnophelesAlbimanus.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_00000856,"City, village, or region",AnophelesAlbimanus.txt::location,AnophelesAlbimanus.txt,"","","","","",EUPATH_0000452,"","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,AnophelesAlbimanus.txt::env_feature,AnophelesAlbimanus.txt,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0000639,Study group,AnophelesAlbimanus.txt::cohort,AnophelesAlbimanus.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001620,Latitude,AnophelesAlbimanus.txt::latitude,AnophelesAlbimanus.txt,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
http://purl.obolibrary.org/obo/OBI_0001621,Longitude,AnophelesAlbimanus.txt::longitude,AnophelesAlbimanus.txt,"","","","","","",degrees,http://purl.obolibrary.org/obo/UO_0000185,"",everywhere,"","","",""
http://purl.obolibrary.org/obo/OBI_0003074,Subject common name,AnophelesAlbimanus.txt::host_common_name,AnophelesAlbimanus.txt,"","","","","",EUPATH_0000512,"","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,AnophelesAlbimanus.txt::sample_type,AnophelesAlbimanus.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OMIT_0008430,Insecticide resistance,AnophelesAlbimanus.txt::phenotype,AnophelesAlbimanus.txt,"","","","","",EUPATH_0009007,"","","","","","","",""
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,AnophelesAlbimanus.txt::region,AnophelesAlbimanus.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,AnophelesAlbimanus.txt::body_site,AnophelesAlbimanus.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000105,Host life stage,AnophelesAlbimanus.txt::host_life_stage,AnophelesAlbimanus.txt,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,AnophelesAlbimanus.txt::body_habitat,AnophelesAlbimanus.txt,"","","","","","","","","","","","","",""
