IRI,label,variable,displayOrder,definition,repeated,is_temporal,mergeKey,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/ENVO_00000009,Country,GEMS.txt::country,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/ENVO_01000739,Habitat,GEMS.txt::env_feature,"","","","","",ENVO_00002297,"","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0009017,ClinEpiDB sample ID,GEMS.txt::gems_sample_id,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0010367,Age group,GEMS.txt::age_factor,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/EUPATH_0010375,Case or control participant,GEMS.txt::case_control,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/OBI_0001169,Age,GEMS.txt::Age (months),"","","","","","",months,http://purl.obolibrary.org/obo/UO_0000035,"","","","","",""
http://purl.obolibrary.org/obo/OBI_0100051,Sample type,GEMS.txt::sample_type,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/SO_0001000,Region of 16S rRNA sequenced,GEMS.txt::region,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000061,Host body site,GEMS.txt::body_site,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000463,Host body product,GEMS.txt::body_product,"","","","","","","","","","","","","",""
http://purl.obolibrary.org/obo/UBERON_0000466,Host body habitat,GEMS.txt::body_habitat,"","","","","","","","","","","","","",""
