variable,IRI,values,mappedTerm
x...study_year,http://purl.obolibrary.org/obo/EUPATH_0030033,Baseline,2015
x...study_year,http://purl.obolibrary.org/obo/EUPATH_0030033,Y1,2016
x...study_year,http://purl.obolibrary.org/obo/EUPATH_0030033,Y2,2017
x...study_year,http://purl.obolibrary.org/obo/EUPATH_0030033,Y3,2018
x...study_year,http://purl.obolibrary.org/obo/EUPATH_0030033,Y4,2019
study_arm,,1,Annual mass drug administration (MDA) with praziquantel and albendazole before the peak transmission season of schistosomiasis (November/December)
study_arm,,2,Annual MDA with praziquantel and albendazole after the peak transmission season of schistosomiasis (March/April)
study_arm,,3,Two yearly treatments before and after peak transmission of schistosomiasis (November/December and March/April)
study_arm,,4,"Annual MDA with praziquantel and albendazole before peak transmission of schistosomiasis (November/December), coupled with chemical snail control using niclosamide."
x_sect,http://purl.obolibrary.org/obo/EUPATH_0030022,0_4,0 to 4 years
x_sect,http://purl.obolibrary.org/obo/EUPATH_0030022,5_8,5 to 8 years
x_sect,http://purl.obolibrary.org/obo/EUPATH_0030022,9_12,9 to 12 years
x_sect,http://purl.obolibrary.org/obo/EUPATH_0030022,Adult,18+ years
x_sect,http://purl.obolibrary.org/obo/EUPATH_0030022,Teenage,13 to 17 years 
sex,http://purl.obolibrary.org/obo/PATO_0000047,F,Female
sex,http://purl.obolibrary.org/obo/PATO_0000047,M,Male
sh_binary,,0,Absent
sh_binary,,1,Present
sm_binary,http://purl.obolibrary.org/obo/EUPATH_0030023,0,Absent
sm_binary,http://purl.obolibrary.org/obo/EUPATH_0030023,1,Present
hook_binary,http://purl.obolibrary.org/obo/EUPATH_0030030,0,Absent
hook_binary,http://purl.obolibrary.org/obo/EUPATH_0030030,1,Present
asc_binary,http://purl.obolibrary.org/obo/EUPATH_0030031,0,Absent
asc_binary,http://purl.obolibrary.org/obo/EUPATH_0030031,1,Present
trich_binary,http://purl.obolibrary.org/obo/EUPATH_0030032,0,Absent
trich_binary,http://purl.obolibrary.org/obo/EUPATH_0030032,1,Present
