IRI,label,clinEpi_label,definition,category,parentIRI,parentLabel,termType,unitLabel,unitIRI
http://purl.obolibrary.org/obo/OBI_0001620,Collection site latitude,Latitude,,Collection site,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,variable,,
http://purl.obolibrary.org/obo/OBI_0001621,Collection site longitude,Longitude,,Collection site,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,variable,,
http://purl.obolibrary.org/obo/EUPATH_0000542,location of specimen collection,,,Collection site,http://purl.obolibrary.org/obo/GAZ_00000448,Collection site,variable,,
http://purl.obolibrary.org/obo/OBI_0002983,Collection site altitude,,,Collection site,http://purl.obolibrary.org/obo/EUPATH_0043212,Geolocation,variable,,
http://purl.obolibrary.org/obo/OBI_0001619,specimen collection date,Sample collection date,,Collection,http://purl.obolibrary.org/obo/OBI_0600005,Sample collection process,variable,,
http://purl.obolibrary.org/obo/OBI_0000968,device,,,Collection,http://purl.obolibrary.org/obo/OBI_0600005,Sample collection process,variable,,
http://purl.obolibrary.org/obo/OBI_0001508,sampling time measurement datum,Study timepoint,,Collection,http://purl.obolibrary.org/obo/OBI_0600005,Sample collection process,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043001,arthropod attractor role,,,Collection,http://purl.obolibrary.org/obo/OBI_0600005,Sample collection process,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043211,geolocation provenance information,,,Collection,http://purl.obolibrary.org/obo/OBI_0600005,Sample collection process,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043212,geolocation precision objective specification,Geolocation,,Collection,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic locationhttp://purl.obolibrary.org/obo/EUPATH_0043212,variable,,
http://purl.obolibrary.org/obo/OBI_0001898,comment on investigation,,,Collection,http://purl.obolibrary.org/obo/OBI_0600005,Sample collection process,variable,,
http://purl.obolibrary.org/obo/PATO_0000146,temperature,,,Collection,http://purl.obolibrary.org/obo/OBI_0600005,Sample collection process,variable,degree Celsius,http://purl.obolibrary.org/obo/UO_0000027
http://purl.obolibrary.org/obo/OBI_0002988,duration of specimen collection,,,Collection,http://purl.obolibrary.org/obo/OBI_0600005,Sample collection process,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043046,count of traps,,,Collection,http://purl.obolibrary.org/obo/OBI_0600005,Sample collection process,variable,,
http://purl.obolibrary.org/obo/OBI_0001898,comment on investigation,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,specimen information,variable,,
http://purl.obolibrary.org/obo/EUPATH_0000609,specimen information,Sample,,Sample,http://www.w3.org/2002/07/owl#Thing,,variable,,
http://purl.obolibrary.org/obo/PATO_0000047,biological sex,Sex,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,variable,,
http://purl.obolibrary.org/obo/UBERON_0000105,life cycle stage,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,variable,,
http://purl.obolibrary.org/obo/OBI_0001479,tissue specimen,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,specimen information,variable,,
http://purl.obolibrary.org/obo/PCO_0000054,number of generations of multicellular organism,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,variable,count unit,http://purl.obolibrary.org/obo/UO_0000189
http://purl.obolibrary.org/obo/PATO_0000033,concentration of,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,specimen information,variable,microgram per liter,http://purl.obolibrary.org/obo/UO_0000301
http://purl.obolibrary.org/obo/CHEBI_24852,insecticide,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000609,specimen information,variable,,
http://purl.obolibrary.org/obo/OBI_0001167,age measurement datum,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,variable,day,http://purl.obolibrary.org/obo/UO_0000033
http://purl.obolibrary.org/obo/PATO_0001152,susceptible toward,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,variable,,
http://purl.obolibrary.org/obo/PATO_0001178,resistant to,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,variable,,
http://purl.obolibrary.org/obo/SO_0001769,group1.variant_phenotype,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,variable,,
http://purl.obolibrary.org/obo/CHEBI_24852,group1.insecticide,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043227,female insect feeding status,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043155,number of input specimens to assay,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,variable,,
http://purl.obolibrary.org/obo/SO_0001769,variant_phenotype,,,Sample,http://purl.obolibrary.org/obo/EUPATH_0000104,Organism under investigation,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043194,organism identification datum,,,Organism identification assay,http://purl.obolibrary.org/obo/OBI_0001624,Organism identification assay,variable,,
http://purl.obolibrary.org/obo/OBI_0001898,comment on investigation,,,Organism identification assay,http://purl.obolibrary.org/obo/OBI_0001624,Organism identification assay,variable,,
http://purl.obolibrary.org/obo/SO_0001505,reference_genome,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,,
http://purl.obolibrary.org/obo/SO_0001507,variant_collection,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,,
http://purl.obolibrary.org/obo/SO_0000703,experimental_result_region,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043219,count of 2La inversion,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,count unit,http://purl.obolibrary.org/obo/UO_0000189
http://purl.obolibrary.org/obo/EUPATH_0043223,count of 2Rj inversion,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,count unit,http://purl.obolibrary.org/obo/UO_0000189
http://purl.obolibrary.org/obo/EUPATH_0043220,count of 2Rb inversion,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,count unit,http://purl.obolibrary.org/obo/UO_0000189
http://purl.obolibrary.org/obo/EUPATH_0043221,count of 2Rc inversion,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,count unit,http://purl.obolibrary.org/obo/UO_0000189
http://purl.obolibrary.org/obo/EUPATH_0043222,count of 2Rd inversion,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,count unit,http://purl.obolibrary.org/obo/UO_0000189
http://purl.obolibrary.org/obo/EUPATH_0043225,count of 2Ru inversion,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,count unit,http://purl.obolibrary.org/obo/UO_0000189
http://purl.obolibrary.org/obo/OBI_0001898,comment on investigation,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,,
http://purl.obolibrary.org/obo/SO_0000704,gene,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043155,number of input specimens to assay,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043178,prevalence of wild type Kdr L1014,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043160,prevalence of Kdr L1014S,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043156,prevalence of Kdr L1014F,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043170,prevalence of AChE1 G119S,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043186,prevalence of wild type AChE1 G119,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043161,prevalence of Kdr L1014C,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043165,prevalence of Kdr F1534C,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043183,prevalence of wild type Kdr F1534,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043162,prevalence of Kdr V1016G,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043181,prevalence of wild type Kdr V1016,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043167,prevalence of Kdr F1534S,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043166,prevalence of Kdr F1534L,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043179,prevalence of wild type Kdr S989,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043157,prevalence of Kdr S989P,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043190,prevalence of wild type Gste2 L119,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043174,prevalence of Gste2 L119F,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043191,prevalence of wild type Rdl A296P,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043176,prevalence of Rdl A296S,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043163,prevalence of Kdr V1016I,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043184,prevalence of wild type Kdr N1575,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043168,prevalence of Kdr N1575Y,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043180,prevalence of wild type Kdr I1011,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043158,prevalence of Kdr I1011M,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043159,prevalence of Kdr I1011V,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043175,prevalence of Rdl A296G,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043185,prevalence of wild type Kdr D1763,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043169,prevalence of Kdr D1763Y,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/SO_0000289,microsatellite,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,,
http://purl.obolibrary.org/obo/PATO_0000122,length,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,,
http://purl.obolibrary.org/obo/OBI_0003029,barcode target locus role,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,,
http://purl.obolibrary.org/obo/OBI_0003030,oligonucleotide primer set,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043182,prevalence of wild type Kdr I1532,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043164,prevalence of Kdr I1532T,,,Genotyping assay,http://purl.obolibrary.org/obo/OBI_0000435,Genotyping assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043155,number of input specimens to assay,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,,
http://purl.obolibrary.org/obo/CHEBI_24852,insecticide,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043117,insecticide concentration in percent,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/APOLLO_SV_00000445,mortality rate,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,percent,http://purl.obolibrary.org/obo/UO_0000187
http://purl.obolibrary.org/obo/EUPATH_0043120,insecticide concentration in mass density unit,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043126,lethal insecticide concentration 50 in mass density unit,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043132,lethal insecticide concentration 95 in mass density unit,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,,
http://purl.obolibrary.org/obo/EUPATH_0043124,lethal insecticide concentration 50 in parts per notation unit,,,Insecticide resistance assay,http://purl.obolibrary.org/obo/OBI_0002695,Insecticide resistance assay,variable,,
