source_id	name	definition	synonyms	Uri	is_obslete
DOID_13250	diarrhea			http://purl.obolibrary.org/obo/DOID_13250	FALSE
ENVO_00003064	drinking water			http://purl.obolibrary.org/obo/ENVO_00003064	FALSE
EUPATH_0000002	dwelling			http://purl.obolibrary.org/obo/EUPATH_0000002	FALSE
EUPATH_0000003	roof material			http://purl.obolibrary.org/obo/EUPATH_0000003	FALSE
EUPATH_0000006	floor material			http://purl.obolibrary.org/obo/EUPATH_0000006	FALSE
EUPATH_0000009	wall material			http://purl.obolibrary.org/obo/EUPATH_0000009	FALSE
EUPATH_0000014	numerical household wealth index			http://purl.obolibrary.org/obo/EUPATH_0000014	FALSE
EUPATH_0000015	eaves			http://purl.obolibrary.org/obo/EUPATH_0000015	FALSE
EUPATH_0000018	air brick			http://purl.obolibrary.org/obo/EUPATH_0000018	FALSE
EUPATH_0000019	number of residents in a dwelling			http://purl.obolibrary.org/obo/EUPATH_0000019	FALSE
EUPATH_0000023	cooking fuel material			http://purl.obolibrary.org/obo/EUPATH_0000023	FALSE
EUPATH_0000025	number of rooms			http://purl.obolibrary.org/obo/EUPATH_0000025	FALSE
EUPATH_0000026	land area measured in acres			http://purl.obolibrary.org/obo/EUPATH_0000026	FALSE
EUPATH_0000027	number of meals per day			http://purl.obolibrary.org/obo/EUPATH_0000027	FALSE
EUPATH_0000028	number of days eating meat in a week			http://purl.obolibrary.org/obo/EUPATH_0000028	FALSE
EUPATH_0000029	frequency of not satisfying food needs			http://purl.obolibrary.org/obo/EUPATH_0000029	FALSE
EUPATH_0000032	date of birth			http://purl.obolibrary.org/obo/EUPATH_0000032	FALSE
EUPATH_0000033	glucose 6 phosphate dehydrogenase genotype			http://purl.obolibrary.org/obo/EUPATH_0000033	FALSE
EUPATH_0000034	alpha thalassemia genotype			http://purl.obolibrary.org/obo/EUPATH_0000034	FALSE
EUPATH_0000035	sickle hemoglobin genotype			http://purl.obolibrary.org/obo/EUPATH_0000035	FALSE
EUPATH_0000036	diagnosis of malaria			http://purl.obolibrary.org/obo/EUPATH_0000036	FALSE
EUPATH_0000038	diagnosis of uncomplicated malaria			http://purl.obolibrary.org/obo/EUPATH_0000038	FALSE
EUPATH_0000040	diagnosis of complicated malaria			http://purl.obolibrary.org/obo/EUPATH_0000040	FALSE
EUPATH_0000046	severe malaria symptom or sign			http://purl.obolibrary.org/obo/EUPATH_0000046	FALSE
EUPATH_0000047	hemoglobin level in gm per dL			http://purl.obolibrary.org/obo/EUPATH_0000047	FALSE
EUPATH_0000048	blood smear reading as positive or negative			http://purl.obolibrary.org/obo/EUPATH_0000048	FALSE
EUPATH_0000054	subcounty in Uganda			http://purl.obolibrary.org/obo/EUPATH_0000054	FALSE
EUPATH_0000057	medication material			http://purl.obolibrary.org/obo/EUPATH_0000057	FALSE
EUPATH_0000058	malaria medication			http://purl.obolibrary.org/obo/EUPATH_0000058	FALSE
EUPATH_0000059	non-malaria medication			http://purl.obolibrary.org/obo/EUPATH_0000059	FALSE
EUPATH_0000089	diagnosis of asymptomatic patent parasitemia			http://purl.obolibrary.org/obo/EUPATH_0000089	FALSE
EUPATH_0000090	diagnosis of symptomatic malaria			http://purl.obolibrary.org/obo/EUPATH_0000090	FALSE
EUPATH_0000091	clinical visit date			http://purl.obolibrary.org/obo/EUPATH_0000091	FALSE
EUPATH_0000092	asexual parasite density in count per ul			http://purl.obolibrary.org/obo/EUPATH_0000092	FALSE
EUPATH_0000093	dwelling information			http://purl.obolibrary.org/obo/EUPATH_0000093	FALSE
EUPATH_0000094	household identifier			http://purl.obolibrary.org/obo/EUPATH_0000094	FALSE
EUPATH_0000096	study participant information			http://purl.obolibrary.org/obo/EUPATH_0000096	FALSE
EUPATH_0000097	febrile			http://purl.obolibrary.org/obo/EUPATH_0000097	FALSE
EUPATH_0000100	subjective fever			http://purl.obolibrary.org/obo/EUPATH_0000100	FALSE
EUPATH_0000110	organismal body temperature measurement datum			http://purl.obolibrary.org/obo/EUPATH_0000110	FALSE
EUPATH_0000113	age since birth at time of visit			http://purl.obolibrary.org/obo/EUPATH_0000113	FALSE
EUPATH_0000114	average asexual parasite density of a participant with asymptomatic parasitemia			http://purl.obolibrary.org/obo/EUPATH_0000114	FALSE
EUPATH_0000115	average asexual parasite density of a participant with malaria			http://purl.obolibrary.org/obo/EUPATH_0000115	FALSE
EUPATH_0000116	average number of female Anopheles			http://purl.obolibrary.org/obo/EUPATH_0000116	FALSE
EUPATH_0000117	average number of female Anopheles tested for sporozoite			http://purl.obolibrary.org/obo/EUPATH_0000117	FALSE
EUPATH_0000118	average number of sporozoite-positive female Anopheles			http://purl.obolibrary.org/obo/EUPATH_0000118	FALSE
EUPATH_0000119	average percent of female Anopheles with Plasmodium sporozoites			http://purl.obolibrary.org/obo/EUPATH_0000119	FALSE
EUPATH_0000120	age since birth at time of enrollment			http://purl.obolibrary.org/obo/EUPATH_0000120	FALSE
EUPATH_0000121	number of clinical visits			http://purl.obolibrary.org/obo/EUPATH_0000121	FALSE
EUPATH_0000122	number of clinical visits resulting in a malaria diagnosis			http://purl.obolibrary.org/obo/EUPATH_0000122	FALSE
EUPATH_0000123	number of clinical visits resulting in an asymptomatic parasitemia diagnosis			http://purl.obolibrary.org/obo/EUPATH_0000123	FALSE
EUPATH_0000134	number of Anopheles collections			http://purl.obolibrary.org/obo/EUPATH_0000134	FALSE
EUPATH_0000135	sum number of female Anopheles in a collection			http://purl.obolibrary.org/obo/EUPATH_0000135	FALSE
EUPATH_0000136	sum number of female Anopheles funestus in a collection			http://purl.obolibrary.org/obo/EUPATH_0000136	FALSE
EUPATH_0000137	sum number of female Anopheles gambiae in a collection			http://purl.obolibrary.org/obo/EUPATH_0000137	FALSE
EUPATH_0000138	participant observation duration time			http://purl.obolibrary.org/obo/EUPATH_0000138	FALSE
EUPATH_0000139	average number of clinical visits per year			http://purl.obolibrary.org/obo/EUPATH_0000139	FALSE
EUPATH_0000140	average number of clinical visits with asymptomatic parasitemia diagnosis per year			http://purl.obolibrary.org/obo/EUPATH_0000140	FALSE
EUPATH_0000141	average number of clinical visits with malaria diagnosis per year			http://purl.obolibrary.org/obo/EUPATH_0000141	FALSE
EUPATH_0000143	categorical household wealth index			http://purl.obolibrary.org/obo/EUPATH_0000143	FALSE
EUPATH_0000144	household asset information			http://purl.obolibrary.org/obo/EUPATH_0000144	FALSE
EUPATH_0000150	date of death			http://purl.obolibrary.org/obo/EUPATH_0000150	FALSE
EUPATH_0000151	date of participant first enrolled in a study			http://purl.obolibrary.org/obo/EUPATH_0000151	FALSE
EUPATH_0000152	date of participant last seen in a study			http://purl.obolibrary.org/obo/EUPATH_0000152	FALSE
EUPATH_0000154	duration of abdominal pain			http://purl.obolibrary.org/obo/EUPATH_0000154	FALSE
EUPATH_0000155	duration of anorexia			http://purl.obolibrary.org/obo/EUPATH_0000155	FALSE
EUPATH_0000156	duration of cough			http://purl.obolibrary.org/obo/EUPATH_0000156	FALSE
EUPATH_0000157	duration of diarrhea			http://purl.obolibrary.org/obo/EUPATH_0000157	FALSE
EUPATH_0000158	duration of fatigue			http://purl.obolibrary.org/obo/EUPATH_0000158	FALSE
EUPATH_0000159	duration of headache			http://purl.obolibrary.org/obo/EUPATH_0000159	FALSE
EUPATH_0000160	duration of jaundice			http://purl.obolibrary.org/obo/EUPATH_0000160	FALSE
EUPATH_0000161	duration of joint pains			http://purl.obolibrary.org/obo/EUPATH_0000161	FALSE
EUPATH_0000162	duration of muscle aches			http://purl.obolibrary.org/obo/EUPATH_0000162	FALSE
EUPATH_0000163	duration of seizures			http://purl.obolibrary.org/obo/EUPATH_0000163	FALSE
EUPATH_0000164	duration of subjective fever			http://purl.obolibrary.org/obo/EUPATH_0000164	FALSE
EUPATH_0000165	duration of vomiting			http://purl.obolibrary.org/obo/EUPATH_0000165	FALSE
EUPATH_0000191	number of days from time of participant enrollment in a study until current visit			http://purl.obolibrary.org/obo/EUPATH_0000191	FALSE
EUPATH_0000192	number of fed female Anopheles funestus in a collection			http://purl.obolibrary.org/obo/EUPATH_0000192	FALSE
EUPATH_0000193	number of fed female Anopheles gambiae in a collection			http://purl.obolibrary.org/obo/EUPATH_0000193	FALSE
