variable	variable2	values	mappedTerm	valueOrder
avenir census data clinepi::round	avenir census data clinepi::round	1	Basline	
avenir census data clinepi::childid_public	avenir census data clinepi::childid_public	NA	::UNDEF::	
avenir census data clinepi::form.region	avenir census data clinepi::form.region	Dosso	Dosso	1
avenir census data clinepi::form.district	avenir census data clinepi::form.district	Boboye	Boboye	1
avenir census data clinepi::form.district	avenir census data clinepi::form.district	Dioundiou	Dioundiou	2
avenir census data clinepi::form.district	avenir census data clinepi::form.district	Dogondoutchi	Dogondoutchi	3
avenir census data clinepi::form.district	avenir census data clinepi::form.district	Dosso	Dosso	4
avenir census data clinepi::form.district	avenir census data clinepi::form.district	Falmey	Falmey	5
avenir census data clinepi::form.district	avenir census data clinepi::form.district	Gaya	Gaya	6
avenir census data clinepi::form.district	avenir census data clinepi::form.district	Loga	Loga	7
avenir census data clinepi::form.district	avenir census data clinepi::form.district	Tibiri (Doutchi)	Tibiri (Doutchi)	8
avenir census data clinepi::form.hhconsent	avenir census data clinepi::form.hhconsent	0	No	2
avenir census data clinepi::form.hhconsent	avenir census data clinepi::form.hhconsent	1	Yes	1
avenir census data clinepi::form.hhreasonrefused	avenir census data clinepi::form.hhreasonrefused	1	No responsible could be found	1
avenir census data clinepi::form.hhreasonrefused	avenir census data clinepi::form.hhreasonrefused	2	They don't want to	2
avenir census data clinepi::form.hhreasonrefused	avenir census data clinepi::form.hhreasonrefused	NA	Missing	3
avenir census data clinepi::form.hhreasonrefusedother	avenir census data clinepi::form.hhreasonrefusedother	NA	::UNDEF::	
avenir census data clinepi::form.noofchildren	avenir census data clinepi::form.noofchildren	0	0 children	1
avenir census data clinepi::form.noofchildren	avenir census data clinepi::form.noofchildren	1	1 child	2
avenir census data clinepi::form.noofchildren	avenir census data clinepi::form.noofchildren	10	10 children	11
avenir census data clinepi::form.noofchildren	avenir census data clinepi::form.noofchildren	14	14 children	12
avenir census data clinepi::form.noofchildren	avenir census data clinepi::form.noofchildren	2	2 children	3
avenir census data clinepi::form.noofchildren	avenir census data clinepi::form.noofchildren	3	3 children	4
avenir census data clinepi::form.noofchildren	avenir census data clinepi::form.noofchildren	4	4 children	5
avenir census data clinepi::form.noofchildren	avenir census data clinepi::form.noofchildren	5	5 children	6
avenir census data clinepi::form.noofchildren	avenir census data clinepi::form.noofchildren	6	6 children	7
avenir census data clinepi::form.noofchildren	avenir census data clinepi::form.noofchildren	7	7 children	8
avenir census data clinepi::form.noofchildren	avenir census data clinepi::form.noofchildren	8	8 children	9
avenir census data clinepi::form.noofchildren	avenir census data clinepi::form.noofchildren	9	9 children	10
avenir census data clinepi::form.noofchildren	avenir census data clinepi::form.noofchildren	NA	Missing	13
avenir census data clinepi::form.childrenrepeat.childrengroup.childsex	avenir census data clinepi::form.childrenrepeat.childrengroup.childsex	1	Male	1
avenir census data clinepi::form.childrenrepeat.childrengroup.childsex	avenir census data clinepi::form.childrenrepeat.childrengroup.childsex	2	Female	2
avenir census data clinepi::form.childrenrepeat.childrengroup.childsex	avenir census data clinepi::form.childrenrepeat.childrengroup.childsex	NA	Missing	3
avenir census data clinepi::form.childrenrepeat.childrengroup.ageinmonths	avenir census data clinepi::form.childrenrepeat.childrengroup.ageinmonths	NA	::UNDEF::	
avenir census data clinepi::form.childrenrepeat.childrengroup.dobsource	avenir census data clinepi::form.childrenrepeat.childrengroup.dobsource	Avec le carnet de santé	Health record 	2
avenir census data clinepi::form.childrenrepeat.childrengroup.dobsource	avenir census data clinepi::form.childrenrepeat.childrengroup.dobsource	Avec le certificat de naissance	Birth certificate	1
avenir census data clinepi::form.childrenrepeat.childrengroup.dobsource	avenir census data clinepi::form.childrenrepeat.childrengroup.dobsource	Avec un autre document	Other document	3
avenir census data clinepi::form.childrenrepeat.childrengroup.dobsource	avenir census data clinepi::form.childrenrepeat.childrengroup.dobsource	NA	Missing	5
avenir census data clinepi::form.childrenrepeat.childrengroup.dobsource	avenir census data clinepi::form.childrenrepeat.childrengroup.dobsource	Quelqu’un m’a dit la date	Told by someone	4
avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourceotherdoc	avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourceotherdoc	NA	::UNDEF::	
avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourcewho	avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourcewho	1	Mother	1
avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourcewho	avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourcewho	2	Father	2
avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourcewho	avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourcewho	3	Neighbor	3
avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourcewho	avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourcewho	99	Others	4
avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourcewho	avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourcewho	NA	Missing	5
avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourcewhoother	avenir census data clinepi::form.childrenrepeat.childrengroup.dobsourcewhoother	NA	::UNDEF::	
avenir census data clinepi::form.treatment_letter_1_11	avenir census data clinepi::form.treatment_letter_1_11	NA	Missing	13
avenir census data clinepi::form.treatment_letter_1_11	avenir census data clinepi::form.treatment_letter_1_11	b	b	1
avenir census data clinepi::form.treatment_letter_1_11	avenir census data clinepi::form.treatment_letter_1_11	c	c	2
avenir census data clinepi::form.treatment_letter_1_11	avenir census data clinepi::form.treatment_letter_1_11	f	f	3
avenir census data clinepi::form.treatment_letter_1_11	avenir census data clinepi::form.treatment_letter_1_11	g	g	4
avenir census data clinepi::form.treatment_letter_1_11	avenir census data clinepi::form.treatment_letter_1_11	k	k	5
avenir census data clinepi::form.treatment_letter_1_11	avenir census data clinepi::form.treatment_letter_1_11	m	m	6
avenir census data clinepi::form.treatment_letter_1_11	avenir census data clinepi::form.treatment_letter_1_11	q	q	7
avenir census data clinepi::form.treatment_letter_1_11	avenir census data clinepi::form.treatment_letter_1_11	s	s	8
