Term Ontology IRI	Display Label	Term parent ontology IRI	Term parent display label	Data Dictionary ID	Amazonia Data Dictionary Label (es)	Term Type	Amazonia Preferred Label (en)
				eupath/icemr.owl#amazonia_id	EUPATH_0000263	EUPATH_0000271	EUPATH_0000264
http://purl.obolibrary.org/obo/ICEMR_0000001	Animal Information	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	AMAZONIA_0000001	Información de los Animales	category	
http://purl.obolibrary.org/obo/OGMS_0000015	Clinical History	http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	AMAZONIA_0000002	Historial clinico	category	
http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	http://www.w3.org/2002/07/owl#Thing		AMAZONIA_0000003	Vivienda	category	
http://purl.obolibrary.org/obo/EUPATH_0000302	Facilities	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	AMAZONIA_0000004	Instalaciones	category	
http://purl.obolibrary.org/obo/GAZ_00000448	Geographic location	http://www.w3.org/2002/07/owl#Thing		AMAZONIA_0000005	Ubicación geográfica	category	
http://purl.obolibrary.org/obo/OGMS_0000018	Laboratory Findings	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	AMAZONIA_0000006	Descubrimientos de laboratorio	category	
http://purl.obolibrary.org/obo/EUPATH_0000057	Medication	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	AMAZONIA_0000007	Medicación	category	
http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	http://www.w3.org/2002/07/owl#Thing		AMAZONIA_0000008	Partícipe	category	
http://purl.obolibrary.org/obo/EUPATH_0000307	Participant Study Details	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	AMAZONIA_0000009	Participante Detalles del estudio	category	
http://purl.obolibrary.org/obo/EUPATH_0000303	Physical Characteristics	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	AMAZONIA_0000010	Características físicas	category	
http://purl.obolibrary.org/obo/OGMS_0000083	Physical Examination	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	AMAZONIA_0000011	Examen físico	category	
http://purl.obolibrary.org/obo/EUPATH_0000304	Socioeconomic Factors	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	AMAZONIA_0000012	Factores socioeconómicos	category	
http://purl.obolibrary.org/obo/EUPATH_0000309	Symptoms	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	AMAZONIA_0000013	Los síntomas	category	
http://purl.obolibrary.org/obo/ICEMR_0000002	Traveling Details	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	AMAZONIA_0000014	Detalles que viajan	category	
http://purl.obolibrary.org/obo/ICEMR_0000003	Vector Intervention	http://purl.obolibrary.org/obo/EUPATH_0000093	Dwelling	AMAZONIA_0000015	Intervención del vector	category	
http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	http://www.w3.org/2002/07/owl#Thing		AMAZONIA_0000016	Visitar	category	
http://purl.obolibrary.org/obo/EUPATH_0000310	Visit Details	http://purl.obolibrary.org/obo/EUPATH_0000328	Visit	AMAZONIA_0000017	visita detalles	category	
http://purl.obolibrary.org/obo/ICEMR_0000004	Employment Details	http://purl.obolibrary.org/obo/EUPATH_0000096	Participant	AMAZONIA_0000018	Detalles de Empleo	category	Employment Details
