IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,repeated,is_temporal,mergeKey,dataSet,replaces,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,Southeast Asia ICEMR Surveillance,,,,,yes,,,,
http://purl.obolibrary.org/obo/ENVO_01000744,Dwelling type,housetype,,household,,Household,http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,Type of house,,variable,,,,Southeast Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_00000009,Country,country,1,household,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Country,,variable,,,,Southeast Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0026007,Province in Thailand,province,2,household,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Province,,variable,,,,Southeast Asia ICEMR Surveillance,NCIT_C25632,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0026006,District in Thailand,district,3,household,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,District,,variable,,,,Southeast Asia ICEMR Surveillance,EUPATH_0000407,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0026002,Subdistrict in Thailand,subdistrict,4,household,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,Subdistrict,,variable,,,,Southeast Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/ENVO_01000773,Village,village,5,household,,Household,http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,village,"3,6,9",variable,,,,Southeast Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000303,Dwelling characteristics,,1,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,Southeast Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,3,,,Household,http://purl.obolibrary.org/obo/PCO_0000024,Household,,,category,,,,Southeast Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,,,Household,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,Southeast Asia ICEMR Surveillance,,,,,yes,,,,
http://purl.obolibrary.org/obo/EUPATH_0021085,Household data collection date,surveydate:h,,household,,Household,http://purl.obolibrary.org/obo/EUPATH_0011995,Household observation details,date of house survey,,"variable,derived",,,,Southeast Asia ICEMR Surveillance,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0000096,Participant,,,,,Participant,http://www.w3.org/2002/07/owl#Thing,,,,category,,,,Southeast Asia ICEMR Surveillance,,,,,yes,,,,
