IRI,label,variable,displayOrder,dataFile,definition,category,parentIRI,parentLabel,codebookDescription,codebookValues,termType,notesForOnt,repeated,is_temporal,mergeKey,dataSet,unitLabel,unitIRI,is_featured,hidden,scale,defaultDisplayRangeMin,defaultDisplayRangeMax,defaultBinWidth,forceStringType
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,1,,,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,,2,,,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0051003,Health center level information,,4,,,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,,5,,,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0035159,Community observation details,,3,,,Community,http://purl.obolibrary.org/obo/EUPATH_0035127,Community,,,category,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063002,Site in LLINEUP2,llineup2,1,monthly data for all sites through october 2023,Whether the health facility was included in the LLINEUP2 study,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Site included in LLINEUP2 study,,variable,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0044124,Cluster study arm,llinarm,2,monthly data for all sites through october 2023,"If a site was included in LLINEUP2, which study arm they were in",Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,"If in LLINEUP2 study, which arm they were enrolled in",,variable,,,,,UMSP aggregated,,,yes,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063003,LLIN distribution date,llindistmonth,3,monthly data for all sites through october 2023,Month and year LLINs were distributed as part of the LLINEUP2 study,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,month and year in format %tm from stata that LLINs were distributed as part of llineup,"730= November 2020, 731= December 2020, 734= March 2021",variable,,,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063004,Time since LLIN distribution,timing,4,monthly data for all sites through october 2023,Months before (negative) or since (positive) nets were distributed,Community,http://purl.obolibrary.org/obo/EUPATH_0035125,Community administrative information,Months before or since nets were distributed,,variable,,yes,,,UMSP aggregated,months,http://purl.obolibrary.org/obo/UO_0000035,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063006,Malaria suspected visit count,malariasuspected,1,monthly data for all sites through october 2023,Number of visits where malaria was suspected and either a malaria test was performed or a clinical diagnosis of malaria was made without a test result,Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,Number of patients where malaria was suspected,,variable,,yes,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063007,Malaria suspected visit proportion,propsuspected,2,monthly data for all sites through october 2023,Proportion of all health center visits where malaria was suspected and either a malaria test was performed or a clinical diagnosis of malaria was made without a test result,Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,Proportion of all visits where malaria was suspected,,variable,,yes,,,UMSP aggregated,,,,,,,,,
http://purl.obolibrary.org/obo/EUPATH_0063008,Tested for malaria count,tprdenom,3,monthly data for all sites through october 2023,"Of those suspected of malaria, number tested for malaria (test positivity rate denominator)",Community,http://purl.obolibrary.org/obo/EUPATH_0053217,Community malaria summary,"Of those suspected of malaria, number tested for malaria (test positivity rate denominator)",,variable,,yes,,,UMSP aggregated,,,,,,,,,
