IRI,label,displayOrder,variable,dataFile,definition,category,parentLabel,parentIRI,codebookDescription,codebookValues,termType
http://purl.obolibrary.org/obo/PCO_0000024,Household,,,,,Household,,http://www.w3.org/2002/07/owl#Thing,,,category
http://purl.obolibrary.org/obo/EUPATH_0000023,Cooking fuel,,rfbckfl,_clin_rev_de,Main source of cooking fuel.,Household,Dwelling facilities,http://purl.obolibrary.org/obo/EUPATH_0000302,Type of cooking fuel,"01 - Animal dung, 02 - Crop wastes, 03 - Wood, 04 - Straw / shrubs / grass, 05 - Charcoal, 06 - Coal / ignite, 07 - Kerosene / paraffin, 08 - UNK, 09 - Gas, 10 - Electricity, 99 - Other",variable
http://purl.obolibrary.org/obo/EUPATH_0021094,Study site,,site,_clin_rev_de,,Household,Geographic location,http://purl.obolibrary.org/obo/GAZ_00000448,Center,,variable
http://purl.obolibrary.org/obo/EUPATH_0000302,Dwelling facilities,,,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category
http://purl.obolibrary.org/obo/GAZ_00000448,Geographic location,,,,,Household,Household,http://purl.obolibrary.org/obo/PCO_0000024,,,category
http://purl.obolibrary.org/obo/EUPATH_0000738,Observation,,,,,Observation,,http://www.w3.org/2002/07/owl#Thing,,,category
http://purl.obolibrary.org/obo/EUPATH_0000662,BMI-for-age z-score,12,_zbmi | _zbmi_30d,_clin_rev_de,Calculated using WHO child growth standards. Data from 30-day follow-up only available for cases.,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"BMI for age z-score (WHO) | BMI for age z-score (WHO), 30 day FU",,variable
http://purl.obolibrary.org/obo/EUPATH_0033150,BMI-for-age z-score categorization,13,_bmianthro_30d | _bmianthro,_clin_rev_de,Calculated using WHO child growth standards. Data from 30-day follow-up only available for cases.,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"BMI for age (WHO) | BMI for age (WHO), 30 day FU",1 = Outlier low (z-score <-6 SDs); 2 = Severe (>=-6 SDs and <-3 SDs); 3 = Moderate (>=-3 SDs and <-2 SDs); 4 = Normal (>=-2 SDs and <=+5 SDs); 5 = Outlier high (+5 SDs),variable
http://purl.obolibrary.org/obo/EUPATH_0010075,Height (cm),1,_height | csfhele,_clin_rev_de | csf,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Height (cm),,variable
http://purl.obolibrary.org/obo/EUPATH_0015710,Length- or height-for-age z-score,4,_zlen | _zlen_30d,_clin_rev_de,Calculated using WHO child growth standards. Data from 30-day follow-up only available for cases.,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Height/length for age z-score (WHO), 30 day FU | Height/length for age z-score (WHO)",,variable
http://purl.obolibrary.org/obo/EUPATH_0033199,Length- or height-for-age z-score categorization,5,_lenanthro | _lenanthro_30d,_clin_rev_de,Calculated using WHO child growth standards. Data from 30-day follow-up only available for cases.,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Height/length for age (WHO) | Height/length for age (WHO), 30 day FU",1=Outlier low (z-score <-6 SDs); 2=Severe (>=-6 SDs and <-3 SDs); 3=Moderate (>=-3 SDs and <-2 SDs); 4=Normal (>=-2 SDs and <=+6 SDs); 5=Outlier high (>+6 SDs);,variable
http://purl.obolibrary.org/obo/EUPATH_0010084,MUAC (cm),3,_muc,_clin_rev_de,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Mid-upper arm circumference (mm),,variable
http://purl.obolibrary.org/obo/EUPATH_0000710,MUAC-for-age z-score,10,_zac | _zac_30d,_clin_rev_de,Calculated using WHO child growth standards. Data from 30-day follow-up only available for cases.,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Arm circumference z-score (WHO), 30 day FU | Arm circumference z-score (WHO)",,variable
http://purl.obolibrary.org/obo/EUPATH_0033210,MUAC-for-age z-score categorization,11,_acanthro | _acanthro_30d,_clin_rev_de,Calculated using WHO child growth standards. Data from 30-day follow-up only available for cases.,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Arm circumference for age (WHO) | Arm circumference for age (WHO), 30 day FU",1=Outlier low (z-score <-5 SDs); 2=Severe (>=-5 SDs and <-3 SDs); 3=Moderate (>=-3 SDs and <-2 SDs); 4=Normal (>=-2 SDs and <=+5 SDs); 5=Outlier high (>+5 SDs);,variable
http://purl.obolibrary.org/obo/EUPATH_0000732,Weight (kg),2,csfweigh | _weight,_clin_rev_de | csf,,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,Weight (kg),,variable
http://purl.obolibrary.org/obo/EUPATH_0000733,Weight-for-age z-score,6,_zwei_30d | _zwei,_clin_rev_de,Calculated using WHO child growth standards. Data from 30-day follow-up only available for cases.,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Weight for age z-score (WHO) | Weight for age z-score (WHO), 30 day FU",,variable
http://purl.obolibrary.org/obo/EUPATH_0033272,Weight-for-age z-score categorization,7,_weianthro_30d | _weianthro,_clin_rev_de,Calculated using WHO child growth standards. Data from 30-day follow-up only available for cases.,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Weight for age (WHO) | Weight for age (WHO), 30 day FU",1=Outlier low (z-score <-6 SDs); 2=Severe (>=-6 SDs and <-3 SDs); 3=Moderate (>=-3 SDs and <-2 SDs); 4=Normal (>=-2 SDs and <=+5 SDs); 5=Outlier high (>+5 SDs),variable
http://purl.obolibrary.org/obo/EUPATH_0000734,Weight-for-length or -height z-score,8,_zwfl_30d | _zwfl,_clin_rev_de,Calculated using WHO child growth standards. Data from 30-day follow-up only available for cases.,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Weight for height/length z-score (WHO) | Weight for height/length z-score (WHO), 30 day FU",,variable
http://purl.obolibrary.org/obo/EUPATH_0033274,Weight-for-length or -height z-score categorization,9,_wfhanthro | _wfhanthro_30d,_clin_rev_de,Calculated using WHO child growth standards. Data from 30-day follow-up only available for cases.,Observation,Anthropometry,http://purl.obolibrary.org/obo/EUPATH_0000649,"Weight for height (WHO) | Weight for height (WHO), 30 day FU",1=Outlier low (z-score <-5 SDs); 2=Severe (>=-5 SDs and <-3 SDs); 3=Moderate (>=-3 SDs and <-2 SDs); 4=Normal (>=-2 SDs and <=+2 SDs); 5=Overweight(>+2 SDs and <=+5 SDs); 6=Outlier high (>+5 SDs);,variable
http://purl.obolibrary.org/obo/EUPATH_0033380,Afebrile seizure,,cdcafeba,cdc,,Observation,Diagnosis at discharge,http://purl.obolibrary.org/obo/EUPATH_0000321,Afebrile seizure,1 - Yes,value
http://purl.obolibrary.org/obo/EUPATH_0033384,Anaemic heart failure,,cdcanhfa,cdc,,Observation,Diagnosis at discharge,http://purl.obolibrary.org/obo/EUPATH_0000321,Anaemic heart failure,1 - Yes,value
http://purl.obolibrary.org/obo/EUPATH_0033382,Anemia,,cdcanuna,cdc,,Observation,Diagnosis at discharge,http://purl.obolibrary.org/obo/EUPATH_0000321,Anemia - cause unknown,1 - Yes,value
http://purl.obolibrary.org/obo/EUPATH_0033386,Asthma,,cdcastha,cdc,,Observation,Diagnosis at discharge,http://purl.obolibrary.org/obo/EUPATH_0000321,Asthma,1 - Yes,value
http://purl.obolibrary.org/obo/EUPATH_0033388,Birth asphyxia,,cdcbiasa,cdc,,Observation,Diagnosis at discharge,http://purl.obolibrary.org/obo/EUPATH_0000321,Birth asphyxia,1 - Yes,value
http://purl.obolibrary.org/obo/EUPATH_0033377,Bronchiolitis,,cdcbrona,cdc,,Observation,Diagnosis at discharge,http://purl.obolibrary.org/obo/EUPATH_0000321,Bronchiolitis,1 - Yes,value
http://purl.obolibrary.org/obo/EUPATH_0033390,Cellulitis,,cdccella,cdc,,Observation,Diagnosis at discharge,http://purl.obolibrary.org/obo/EUPATH_0000321,Cellulitis,1 - Yes,value
http://purl.obolibrary.org/obo/EUPATH_0033392,Cerebral palsy,,cdccerea,cdc,,Observation,Diagnosis at discharge,http://purl.obolibrary.org/obo/EUPATH_0000321,Cerebral palsy,1 - Yes,value
http://purl.obolibrary.org/obo/EUPATH_0033395,Congenital abnormality,,cdccoaba,cdc,,Observation,Diagnosis at discharge,http://purl.obolibrary.org/obo/EUPATH_0000321,Congenital abnormality,1 - Yes,value
http://purl.obolibrary.org/obo/EUPATH_0033394,Congenital heart disease,,cdccohda,cdc,,Observation,Diagnosis at discharge,http://purl.obolibrary.org/obo/EUPATH_0000321,Congenital heart dis.,1 - Yes,value
http://purl.obolibrary.org/obo/EUPATH_0015130,Diarrhea,,cdcdiara,cdc,,Observation,Diagnosis at discharge,http://purl.obolibrary.org/obo/EUPATH_0000321,Diarrhea,1 - Yes,value
http://purl.obolibrary.org/obo/EUPATH_0033397,Dysentery,,cdcdysea,cdc,,Observation,Diagnosis at discharge,http://purl.obolibrary.org/obo/EUPATH_0000321,Dysentery,1 - Yes,value
http://purl.obolibrary.org/obo/EUPATH_0033399,Empyema thoracis,,cdcempya,cdc,,Observation,Diagnosis at discharge,http://purl.obolibrary.org/obo/EUPATH_0000321,Empyema thoracis,1 - Yes,value
